Date,Latitude,Longitude,Max_Temperature
2019-01-01,7.5,67.5,
2019-01-01,7.5,68.5,
2019-01-01,7.5,69.5,
2019-01-01,7.5,70.5,
2019-01-01,7.5,71.5,
2019-01-01,7.5,72.5,
2019-01-01,7.5,73.5,
2019-01-01,7.5,74.5,
2019-01-01,7.5,75.5,
2019-01-01,7.5,76.5,
2019-01-01,7.5,77.5,
2019-01-01,7.5,78.5,
2019-01-01,7.5,79.5,
2019-01-01,7.5,80.5,
2019-01-01,7.5,81.5,
2019-01-01,7.5,82.5,
2019-01-01,7.5,83.5,
2019-01-01,7.5,84.5,
2019-01-01,7.5,85.5,
2019-01-01,7.5,86.5,
2019-01-01,7.5,87.5,
2019-01-01,7.5,88.5,
2019-01-01,7.5,89.5,
2019-01-01,7.5,90.5,
2019-01-01,7.5,91.5,
2019-01-01,7.5,92.5,
2019-01-01,7.5,93.5,
2019-01-01,7.5,94.5,
2019-01-01,7.5,95.5,
2019-01-01,7.5,96.5,
2019-01-01,7.5,97.5,
2019-01-01,8.5,67.5,
2019-01-01,8.5,68.5,
2019-01-01,8.5,69.5,
2019-01-01,8.5,70.5,
2019-01-01,8.5,71.5,
2019-01-01,8.5,72.5,
2019-01-01,8.5,73.5,32.59816
2019-01-01,8.5,74.5,
2019-01-01,8.5,75.5,
2019-01-01,8.5,76.5,30.626171
2019-01-01,8.5,77.5,31.60122
2019-01-01,8.5,78.5,30.536781
2019-01-01,8.5,79.5,
2019-01-01,8.5,80.5,
2019-01-01,8.5,81.5,
2019-01-01,8.5,82.5,
2019-01-01,8.5,83.5,
2019-01-01,8.5,84.5,
2019-01-01,8.5,85.5,
2019-01-01,8.5,86.5,
2019-01-01,8.5,87.5,
2019-01-01,8.5,88.5,
2019-01-01,8.5,89.5,
2019-01-01,8.5,90.5,
2019-01-01,8.5,91.5,
2019-01-01,8.5,92.5,
2019-01-01,8.5,93.5,
2019-01-01,8.5,94.5,
2019-01-01,8.5,95.5,
2019-01-01,8.5,96.5,
2019-01-01,8.5,97.5,
2019-01-01,9.5,67.5,
2019-01-01,9.5,68.5,
2019-01-01,9.5,69.5,
2019-01-01,9.5,70.5,
2019-01-01,9.5,71.5,
2019-01-01,9.5,72.5,
2019-01-01,9.5,73.5,
2019-01-01,9.5,74.5,
2019-01-01,9.5,75.5,
2019-01-01,9.5,76.5,30.769962
2019-01-01,9.5,77.5,30.307644
2019-01-01,9.5,78.5,28.715908
2019-01-01,9.5,79.5,29.251158
2019-01-01,9.5,80.5,
2019-01-01,9.5,81.5,
2019-01-01,9.5,82.5,
2019-01-01,9.5,83.5,
2019-01-01,9.5,84.5,
2019-01-01,9.5,85.5,
2019-01-01,9.5,86.5,
2019-01-01,9.5,87.5,
2019-01-01,9.5,88.5,
2019-01-01,9.5,89.5,
2019-01-01,9.5,90.5,
2019-01-01,9.5,91.5,
2019-01-01,9.5,92.5,
2019-01-01,9.5,93.5,
2019-01-01,9.5,94.5,
2019-01-01,9.5,95.5,
2019-01-01,9.5,96.5,
2019-01-01,9.5,97.5,
2019-01-01,10.5,67.5,
2019-01-01,10.5,68.5,
2019-01-01,10.5,69.5,
2019-01-01,10.5,70.5,
2019-01-01,10.5,71.5,
2019-01-01,10.5,72.5,
2019-01-01,10.5,73.5,
2019-01-01,10.5,74.5,
2019-01-01,10.5,75.5,29.94331
2019-01-01,10.5,76.5,28.077696
2019-01-01,10.5,77.5,28.139677
2019-01-01,10.5,78.5,29.765875
2019-01-01,10.5,79.5,29.152706
2019-01-01,10.5,80.5,
2019-01-01,10.5,81.5,
2019-01-01,10.5,82.5,
2019-01-01,10.5,83.5,
2019-01-01,10.5,84.5,
2019-01-01,10.5,85.5,
2019-01-01,10.5,86.5,
2019-01-01,10.5,87.5,
2019-01-01,10.5,88.5,
2019-01-01,10.5,89.5,
2019-01-01,10.5,90.5,
2019-01-01,10.5,91.5,
2019-01-01,10.5,92.5,
2019-01-01,10.5,93.5,
2019-01-01,10.5,94.5,
2019-01-01,10.5,95.5,
2019-01-01,10.5,96.5,
2019-01-01,10.5,97.5,
2019-01-01,11.5,67.5,
2019-01-01,11.5,68.5,
2019-01-01,11.5,69.5,
2019-01-01,11.5,70.5,
2019-01-01,11.5,71.5,
2019-01-01,11.5,72.5,31.785994
2019-01-01,11.5,73.5,
2019-01-01,11.5,74.5,
2019-01-01,11.5,75.5,29.15929
2019-01-01,11.5,76.5,27.89482
2019-01-01,11.5,77.5,28.420778
2019-01-01,11.5,78.5,29.752329
2019-01-01,11.5,79.5,29.054258
2019-01-01,11.5,80.5,
2019-01-01,11.5,81.5,
2019-01-01,11.5,82.5,
2019-01-01,11.5,83.5,
2019-01-01,11.5,84.5,
2019-01-01,11.5,85.5,
2019-01-01,11.5,86.5,
2019-01-01,11.5,87.5,
2019-01-01,11.5,88.5,
2019-01-01,11.5,89.5,
2019-01-01,11.5,90.5,
2019-01-01,11.5,91.5,
2019-01-01,11.5,92.5,
2019-01-01,11.5,93.5,
2019-01-01,11.5,94.5,
2019-01-01,11.5,95.5,
2019-01-01,11.5,96.5,
2019-01-01,11.5,97.5,
2019-01-01,12.5,67.5,
2019-01-01,12.5,68.5,
2019-01-01,12.5,69.5,
2019-01-01,12.5,70.5,
2019-01-01,12.5,71.5,
2019-01-01,12.5,72.5,
2019-01-01,12.5,73.5,
2019-01-01,12.5,74.5,30.632479
2019-01-01,12.5,75.5,29.997814
2019-01-01,12.5,76.5,26.109564
2019-01-01,12.5,77.5,27.938126
2019-01-01,12.5,78.5,27.836517
2019-01-01,12.5,79.5,29.070091
2019-01-01,12.5,80.5,29.01379
2019-01-01,12.5,81.5,
2019-01-01,12.5,82.5,
2019-01-01,12.5,83.5,
2019-01-01,12.5,84.5,
2019-01-01,12.5,85.5,
2019-01-01,12.5,86.5,
2019-01-01,12.5,87.5,
2019-01-01,12.5,88.5,
2019-01-01,12.5,89.5,
2019-01-01,12.5,90.5,
2019-01-01,12.5,91.5,
2019-01-01,12.5,92.5,
2019-01-01,12.5,93.5,
2019-01-01,12.5,94.5,
2019-01-01,12.5,95.5,
2019-01-01,12.5,96.5,
2019-01-01,12.5,97.5,
2019-01-01,13.5,67.5,
2019-01-01,13.5,68.5,
2019-01-01,13.5,69.5,
2019-01-01,13.5,70.5,
2019-01-01,13.5,71.5,
2019-01-01,13.5,72.5,
2019-01-01,13.5,73.5,
2019-01-01,13.5,74.5,30.609215
2019-01-01,13.5,75.5,30.0853
2019-01-01,13.5,76.5,28.39908
2019-01-01,13.5,77.5,27.500889
2019-01-01,13.5,78.5,27.848587
2019-01-01,13.5,79.5,28.605875
2019-01-01,13.5,80.5,29.138348
2019-01-01,13.5,81.5,
2019-01-01,13.5,82.5,
2019-01-01,13.5,83.5,
2019-01-01,13.5,84.5,
2019-01-01,13.5,85.5,
2019-01-01,13.5,86.5,
2019-01-01,13.5,87.5,
2019-01-01,13.5,88.5,
2019-01-01,13.5,89.5,
2019-01-01,13.5,90.5,
2019-01-01,13.5,91.5,
2019-01-01,13.5,92.5,
2019-01-01,13.5,93.5,
2019-01-01,13.5,94.5,
2019-01-01,13.5,95.5,
2019-01-01,13.5,96.5,
2019-01-01,13.5,97.5,
2019-01-01,14.5,67.5,
2019-01-01,14.5,68.5,
2019-01-01,14.5,69.5,
2019-01-01,14.5,70.5,
2019-01-01,14.5,71.5,
2019-01-01,14.5,72.5,
2019-01-01,14.5,73.5,
2019-01-01,14.5,74.5,31.429743
2019-01-01,14.5,75.5,30.410868
2019-01-01,14.5,76.5,29.03564
2019-01-01,14.5,77.5,29.304785
2019-01-01,14.5,78.5,29.053831
2019-01-01,14.5,79.5,29.657883
2019-01-01,14.5,80.5,29.473854
2019-01-01,14.5,81.5,
2019-01-01,14.5,82.5,
2019-01-01,14.5,83.5,
2019-01-01,14.5,84.5,
2019-01-01,14.5,85.5,
2019-01-01,14.5,86.5,
2019-01-01,14.5,87.5,
2019-01-01,14.5,88.5,
2019-01-01,14.5,89.5,
2019-01-01,14.5,90.5,
2019-01-01,14.5,91.5,
2019-01-01,14.5,92.5,
2019-01-01,14.5,93.5,
2019-01-01,14.5,94.5,
2019-01-01,14.5,95.5,
2019-01-01,14.5,96.5,
2019-01-01,14.5,97.5,
2019-01-01,15.5,67.5,
2019-01-01,15.5,68.5,
2019-01-01,15.5,69.5,
2019-01-01,15.5,70.5,
2019-01-01,15.5,71.5,
2019-01-01,15.5,72.5,
2019-01-01,15.5,73.5,32.100983
2019-01-01,15.5,74.5,31.763935
2019-01-01,15.5,75.5,30.666254
2019-01-01,15.5,76.5,30.557743
2019-01-01,15.5,77.5,30.71725
2019-01-01,15.5,78.5,30.85785
2019-01-01,15.5,79.5,30.52129
2019-01-01,15.5,80.5,29.809423
2019-01-01,15.5,81.5,
2019-01-01,15.5,82.5,
2019-01-01,15.5,83.5,
2019-01-01,15.5,84.5,
2019-01-01,15.5,85.5,
2019-01-01,15.5,86.5,
2019-01-01,15.5,87.5,
2019-01-01,15.5,88.5,
2019-01-01,15.5,89.5,
2019-01-01,15.5,90.5,
2019-01-01,15.5,91.5,
2019-01-01,15.5,92.5,
2019-01-01,15.5,93.5,
2019-01-01,15.5,94.5,
2019-01-01,15.5,95.5,
2019-01-01,15.5,96.5,
2019-01-01,15.5,97.5,
2019-01-01,16.5,67.5,
2019-01-01,16.5,68.5,
2019-01-01,16.5,69.5,
2019-01-01,16.5,70.5,
2019-01-01,16.5,71.5,
2019-01-01,16.5,72.5,
2019-01-01,16.5,73.5,32.431034
2019-01-01,16.5,74.5,31.382812
2019-01-01,16.5,75.5,30.53691
2019-01-01,16.5,76.5,30.854504
2019-01-01,16.5,77.5,30.572168
2019-01-01,16.5,78.5,30.037447
2019-01-01,16.5,79.5,30.058805
2019-01-01,16.5,80.5,29.966705
2019-01-01,16.5,81.5,28.975462
2019-01-01,16.5,82.5,28.641537
2019-01-01,16.5,83.5,
2019-01-01,16.5,84.5,
2019-01-01,16.5,85.5,
2019-01-01,16.5,86.5,
2019-01-01,16.5,87.5,
2019-01-01,16.5,88.5,
2019-01-01,16.5,89.5,
2019-01-01,16.5,90.5,
2019-01-01,16.5,91.5,
2019-01-01,16.5,92.5,
2019-01-01,16.5,93.5,
2019-01-01,16.5,94.5,
2019-01-01,16.5,95.5,
2019-01-01,16.5,96.5,
2019-01-01,16.5,97.5,
2019-01-01,17.5,67.5,
2019-01-01,17.5,68.5,
2019-01-01,17.5,69.5,
2019-01-01,17.5,70.5,
2019-01-01,17.5,71.5,
2019-01-01,17.5,72.5,
2019-01-01,17.5,73.5,30.86328
2019-01-01,17.5,74.5,30.943123
2019-01-01,17.5,75.5,31.151472
2019-01-01,17.5,76.5,30.707455
2019-01-01,17.5,77.5,30.362482
2019-01-01,17.5,78.5,29.28124
2019-01-01,17.5,79.5,29.671309
2019-01-01,17.5,80.5,28.88124
2019-01-01,17.5,81.5,27.828768
2019-01-01,17.5,82.5,27.390985
2019-01-01,17.5,83.5,27.035017
2019-01-01,17.5,84.5,
2019-01-01,17.5,85.5,
2019-01-01,17.5,86.5,
2019-01-01,17.5,87.5,
2019-01-01,17.5,88.5,
2019-01-01,17.5,89.5,
2019-01-01,17.5,90.5,
2019-01-01,17.5,91.5,
2019-01-01,17.5,92.5,
2019-01-01,17.5,93.5,
2019-01-01,17.5,94.5,
2019-01-01,17.5,95.5,
2019-01-01,17.5,96.5,
2019-01-01,17.5,97.5,
2019-01-01,18.5,67.5,
2019-01-01,18.5,68.5,
2019-01-01,18.5,69.5,
2019-01-01,18.5,70.5,
2019-01-01,18.5,71.5,
2019-01-01,18.5,72.5,30.486706
2019-01-01,18.5,73.5,30.224115
2019-01-01,18.5,74.5,30.523666
2019-01-01,18.5,75.5,30.833496
2019-01-01,18.5,76.5,30.685896
2019-01-01,18.5,77.5,30.287037
2019-01-01,18.5,78.5,30.062042
2019-01-01,18.5,79.5,29.78811
2019-01-01,18.5,80.5,28.394455
2019-01-01,18.5,81.5,27.535908
2019-01-01,18.5,82.5,27.300272
2019-01-01,18.5,83.5,26.890987
2019-01-01,18.5,84.5,26.988972
2019-01-01,18.5,85.5,
2019-01-01,18.5,86.5,
2019-01-01,18.5,87.5,
2019-01-01,18.5,88.5,
2019-01-01,18.5,89.5,
2019-01-01,18.5,90.5,
2019-01-01,18.5,91.5,
2019-01-01,18.5,92.5,
2019-01-01,18.5,93.5,
2019-01-01,18.5,94.5,
2019-01-01,18.5,95.5,
2019-01-01,18.5,96.5,
2019-01-01,18.5,97.5,
2019-01-01,19.5,67.5,
2019-01-01,19.5,68.5,
2019-01-01,19.5,69.5,
2019-01-01,19.5,70.5,
2019-01-01,19.5,71.5,
2019-01-01,19.5,72.5,30.891703
2019-01-01,19.5,73.5,30.904179
2019-01-01,19.5,74.5,30.067518
2019-01-01,19.5,75.5,30.191883
2019-01-01,19.5,76.5,30.117373
2019-01-01,19.5,77.5,30.099167
2019-01-01,19.5,78.5,30.263916
2019-01-01,19.5,79.5,29.361147
2019-01-01,19.5,80.5,29.071352
2019-01-01,19.5,81.5,27.886461
2019-01-01,19.5,82.5,26.460945
2019-01-01,19.5,83.5,26.82889
2019-01-01,19.5,84.5,26.782402
2019-01-01,19.5,85.5,26.201452
2019-01-01,19.5,86.5,
2019-01-01,19.5,87.5,
2019-01-01,19.5,88.5,
2019-01-01,19.5,89.5,
2019-01-01,19.5,90.5,
2019-01-01,19.5,91.5,
2019-01-01,19.5,92.5,
2019-01-01,19.5,93.5,
2019-01-01,19.5,94.5,
2019-01-01,19.5,95.5,
2019-01-01,19.5,96.5,
2019-01-01,19.5,97.5,
2019-01-01,20.5,67.5,
2019-01-01,20.5,68.5,
2019-01-01,20.5,69.5,
2019-01-01,20.5,70.5,30.817907
2019-01-01,20.5,71.5,31.270193
2019-01-01,20.5,72.5,30.904964
2019-01-01,20.5,73.5,30.960173
2019-01-01,20.5,74.5,30.169998
2019-01-01,20.5,75.5,30.335213
2019-01-01,20.5,76.5,30.164951
2019-01-01,20.5,77.5,30.072374
2019-01-01,20.5,78.5,30.105087
2019-01-01,20.5,79.5,28.871273
2019-01-01,20.5,80.5,29.287508
2019-01-01,20.5,81.5,27.5837
2019-01-01,20.5,82.5,26.557053
2019-01-01,20.5,83.5,26.771664
2019-01-01,20.5,84.5,26.801107
2019-01-01,20.5,85.5,26.228176
2019-01-01,20.5,86.5,25.987522
2019-01-01,20.5,87.5,
2019-01-01,20.5,88.5,
2019-01-01,20.5,89.5,
2019-01-01,20.5,90.5,
2019-01-01,20.5,91.5,
2019-01-01,20.5,92.5,
2019-01-01,20.5,93.5,
2019-01-01,20.5,94.5,
2019-01-01,20.5,95.5,
